	age	debug1	debug2	english.0-writing	english.1-reading	gender-Gender non conforming/non-binary	gender-Man	gender-Prefer not to answer	gender-Woman	original id	major	open1	open2	perceivedvalue.0-boring	perceivedvalue.1-productive	perceivedvalue.2-useless	perceivedvalue.3-engaging	pocc.0-learning the basic concepts	pocc.1-testing my ideas and theories	pocc.2-answering given questions	pocc.3-memorizing key information	pocc.4-exploring the topic	[qual1] Scenario 1	qual1	qual2	qual3	qual4	qual5	qual5reasoning	qual6	qual6reasoning	quant.0 - the width of the beaker is changed from 2cm to 1cm	quant.0 - the area is changed from 200mm2 to 100mm2	quant.1 - the concentration of wine is changed from 500 to 1000 mM	quant.1 - the separation is changed from 2mm to 4mm	quant.2 - the width of the beaker is changed from 2cm to 4cm and the concentration of wine is changed from 500 to 1000 mM	quant.2 - the area is changed from 200mm2 to 100mm2 and the plate separation is changed from 2mm to 1mm 	quant.3 - the width of the beaker is changed from 2cm to 1cm and the concentration of wine is changed from 500 to 1000 mM	quant.3 - the area is changed from 200mm2 to 100mm2 and the plate separation is changed from 2mm to 4mm 	strategies.0-setup my first experiment right away	strategies.10-try to identify mathematical relationships	strategies.11-try to apply my prior knowledge of physics	strategies.12-predict the result of a test before trying something out	strategies.13-decide what to investigate based on previous results	strategies.14-identify what I haven't investigated yet	strategies.1-spend time designing a set of experiments I want to conduct	strategies.2-make a plan	strategies.3-explore the different components of the PhET interface	strategies.4-identify important variables	strategies.5-look for weird outcomes I did not expect	strategies.6-look for general patterns and then dive into detailed experimentation	strategies.7-check if the relationships I found hold under different conditions	strategies.8-think about why I get the results I get	strategies.9-summarize my findings as I go	strategies_att.0-try to get the right answer	strategies_att.1-improve my scientific reasoning skill	strategies_att.2-try to learn more about the topic	strategies_att.3-finish as quickly as possible	strategies_att.4-come up with my own questions to investigate	taskinterpretation.0-investigate the basic mechanics of the topic at hand	taskinterpretation.1-design my own experiments that can help me understand the topic at hand	taskinterpretation.2-memorize information about the topic at hand	taskinterpretation.3-complete a certain number of  questions	taskinterpretation.4-develop scientific reasoning skills	year-1st year undergraduate	year-2nd year undergraduate	year-3rd year undergraduate	year-4th year undergraduate	sim	sim_index	sid
2	18-19	Based on virtual lab results, the charge vs. plate separation graph was exponentially decreasing, so the s term should be s^2. Everythign else is linear and should be fine. The amount of charge and voltage should be in absolute value brackets.	The negative should not be there because it only works for when the voltage is negative. Therefore, both sides of the equation should just have absolute value brackets. Everything else is correct based off the linear patterns of increasing voltage and area and the exponential decrease of charge as separation increases.	Fluent	Fluent				1.0	77047160	*Non science or applied science major	I conducted 4 different experiments where I varied one variable (voltage, area, separation or switch) and kept everything constant. I graphed all the results and studied the patterns. It was different in that the patterns were harder to follow sometimes, especially when playing with the battery voltage.	Graphs helped visualize the patterns. Next time I would probably try and do more tests and combine different voltages with different variables.	Somewhat	Mostly	Not at all	Mostly	Often	Almost always	Almost always	Often	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	The magnitude of the voltage is increasing in both scenarios so the magnitude of the charge will also increase. The only difference is where the charge accumulates. In the first scenario, the negative charge accumulates on the bottom plate and vice versa.	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	The plates need to be aligned perfectly in order to get maximum attraction between the negative and positive charges. This will result in a higher plate charge.		0.5		0.25		2		08-Jan	Mostly	Definitely	Somewhat	Mostly	Mostly	Mostly	Mostly	Somewhat	Mostly	Somewhat	Definitely	Mostly	Definitely	Definitely	Definitely	Definitely	Mostly	Somewhat	Somewhat	Mostly	Mostly	Mostly	Somewhat	Mostly	Mostly	1.0				Capacitance	2	77047160
3	20-22	k1, k2, and k3 are unnecessary. There should be only one constant for the whole right hand side of the equation for a particular voltage.\nV should be multiplied to A, and divided by s. However, it is correct that they should be present in the equation.	s^2 should be s, as Q is inversely proportional to s.\nThe (-) sign is not necessary if this is the Q of the top plate.	Average	Fluent		1.0			90447168	*Undeclared	I tried to explore more different combinations to find patterns and anomalies. It is different this time as I tried to focus more on finding the mathematical expression for the variables.	I believe I managed to find all the possible outcomes, however I did not have enough time to gather a lot of data to convince myself that my claim is correct. I would like to do the experiment even faster next time, however i think that is beyond my capabilities.	Not at all	Mostly	Not at all	Mostly	Almost always	Often	Almost always	Almost always	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	Although the sign would be different, since it is the absolute plate charge, numerically they are the same. This is because the potential difference in the circuit is the same (10 volts).	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	When they are both aligned, the electrons transferred is maximized. Hence, the plate charge should be higher.		0.5		0.5		1		0.25	Mostly	Definitely	Definitely	Somewhat	Somewhat	Definitely	Not at all	Somewhat	Definitely	Definitely	Definitely	Mostly	Somewhat	Mostly	Mostly	Somewhat	Somewhat	Definitely	Somewhat	Definitely	Mostly	Somewhat	Not at all	Definitely	Mostly	1.0				Capacitance	2	90447168
4	20-22	The above formula is incorrect based on my experimentation result. \nQ must be directly proportional to V and A. This give us Q=kVA.\nFor s, Q is inversely proportional to s, therefore the result formula would be Q=kVA/s	The amount of charge must be positive, and since V,A and s are always positive, there is no need for the negative sign in the formula. Instead, we could probably assign positive constant k.\nThe formula suggests that Q is directly proportional to V and A, which is correct. \nQ is inversely proportional to s^2 is incorrect, Q decreases linearly with increase in s, the relationship should be Q=kVA/s.	Fluent	Fluent		1.0			24511163	Mechanical Engineering	I tried out different factors that I considered about and checked the outcomes with what I previously thought. Whenever I encounter with different result, I will think about the reason behind it and the process helps me learn.\nI get better in using the virtual labs. It becomes handy and quicker for me to carry out my planned experiment. 	The graphical part provided a very easy and concise way of getting the relationship between quantities being measured. However, it is unclear to justify that the quantities have a linear relationship since the virtual lab doesnt help us to draw the graph. \nFor the next time, I would specifically modify the quantities with known factor and see how the result changes	Not at all	Definitely	Not at all	Definitely	Often	Almost always	Often	Often	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	The polarity of the battery doesnt affect the absolute plate charge. It will inverse the polarity of plates but will not change the absolute amount of charge.	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	The effective area to carry charges is higher in second selection. Besides, the area to induce polarity on the plates is also higher.		0.5		0.5		1		0.25	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Somewhat	Definitely	Definitely	Definitely	Not at all	Definitely	Definitely	1.0				Capacitance	2	24511163
5	18-19	This seems right since a greater voltage and plate area along with a smaller separation produce the greatest charge. However, the voltage values can be either positive or negative without affecting the charge and the formula does not seem to take that into account.  	It does not make sense that the formula would begin with a negative sign. I also didn't find that the relationship for the separation and the charge was 1/x^2. 	Fluent	Fluent				1.0	27451164	Electrical Engineering	In this lab I tried to conduct controlled experiments right away in order to obtain more data about how the different factors and variables affect the results. 	I think I used my time a lot more efficiently in this lab by having a more concrete plan of the experiments I wanted to conduct and the data I wanted to gather. Perhaps next time I would try testing how the combination of certain variables affect the results, since in this lab I only tested one variable at a time, keeping everything else constant. 	Not at all	Definitely	Not at all	Definitely	Almost always	Often	Often	Sometimes	Almost always		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_0V.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	The positive and negative values resulted in the same absolute charge for the plates, only their sign changed. 	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	It seems that the greater the area that is shared by the plates, the greater the charge. So I would conclude that having plates directly above each other would produce a greater charge. 		0.5		0.3		0.8		0.2	Definitely	Somewhat	Somewhat	Somewhat	Mostly	Mostly	Mostly	Definitely	Definitely	Definitely	Not at all	Mostly	Mostly	Mostly	Mostly	Not at all	Mostly	Definitely	Not at all	Definitely	Mostly	Definitely	Not at all	Definitely	Mostly	1.0				Capacitance	2	27451164
6	18-19	According to the formula as either or all of V and A increase, charge should increase and as s increases, charge should decrease. This seems correct to me.\nHowever I had initially thought that Q would be the product of V, A and 1/s. 	This seems correct appart from the negative sign. According to this formula, A=-Qs^2 /V. If Q and V are both positive then A would be negative. This is not possible.\nI also think that the denominator should be s and not s^2. s^2 usually applies when we're thinking of volumes of spheres or point sources but this is neither so it shouldn't have a power in my opinion. Also, if i remember correctly, charge and s were inversly proportional. I dont think that charge was inversly proportional to the square of s	Fluent	Fluent		1.0			46792161	Mechanical Engineering	I kept all variables constant while manipulationg one and measuring the charge of the plates. I then made a graph of this variable against the charge of the plates to see the relationship between the two variables. I repeated this process gor each of the variables.This time I played around with the simulation more.	Keeping things constant while varying one thing worked well. It gave me a good graph. And helped me figure out a cause and effect relationship.	Somewhat	Somewhat	Somewhat	Mostly	Often	Often	Often	Sometimes	Almost always		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_0V.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	ABSOLUTE plate charge is the same. The only difference is which plate gets the negative charge will be reversed if you reverse the voltage of the battery	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	I feel like the plates need to be alligned so that the charges can interact with each other. The further away the plates were the less the charge build up. offset plates is effectively increasing the distance from each point on a plate to the same point on the other plate, so if the plates are perfectly alligned they should have a higher absolute charge		0.5		0.5		1		0.25	Mostly	Definitely	Mostly	Mostly	Mostly	Definitely	Somewhat	Somewhat	Definitely	Mostly	Mostly	Mostly	Mostly	Definitely	Mostly	Mostly	Mostly	Mostly	Somewhat	Mostly	Mostly	Somewhat	Somewhat	Mostly	Definitely	1.0				Capacitance	2	46792161
7	20-22	about the plus and minus sign im not sure why the second one should be negative it could be wrong	im not sure if the negative sign is right\nbut i think the rest is right for example s is in denominator which is right because it doesn't have a proportional relationship with Q but v and a that have proportional relationship are in nominator	Average	Average				1.0	64006159	*Undeclared	second one was not clear at all\ni feel totally clear about the first one but not the second one	honestly, nothing in the second lab work well for me because i want able to work with but i was able to work with the first lab and by changing things getting difference answers but in this lab after changing things i didn't get any different answer or any answer at all	Definitely	Not at all	Definitely	Not at all	Sometimes	Often	Often	Often	Almost never		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_0V.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	positive voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	more voltage give us more plate charge	 (https://survey.ubc.ca/media/assets/groups/5494/Notenoughinfo.png)	we were not able to change the plates horizontally in the virtual lab so i think it has no effect		less than 1pc		less than 1 pc		less than 1pc		less than 1pc	Somewhat	Not at all	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Mostly	Somewhat	Mostly	Mostly	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Not at all	Not at all	Somewhat	Somewhat	Not at all	Not at all	Somewhat		1.0			Capacitance	2	64006159
8	18-19	I believe that most aspects of the formula are correct. This is because voltage, area and separation all influence the charge on a plate. However, one things i would change is to put an absolute value sign for voltage because voltage can be negative and therefore make the whole term negative. This is contradicting becuase a larger voltage should infer a larger charge. Other than that, i believe the equation is correct. 	I believe that the negative sign in front of V is incorrect because if a positive voltage was given, the charge (Q) should be positive. I don't understand why there is multiplication and division in the equation because they all have an effect on the charge by increasing or decreasing it through adding and subtraction of the charge affected. 	Fluent	Fluent				1.0	89047164	Biology	it was through trial and error that i discovered how the lab worked. It was different in the second lab as i had done something similar in the first lab so the basic concept of working through the virtual lab was similar. 	This lab was basic and simple to read and the screen shots given helped. However, i was unsure about how to change the voltage. I could only change the sign to be positive or negative so that aspect of the lab was confusing. 	Somewhat	Somewhat	Somewhat	Not at all	Sometimes	Almost never	Sometimes	Sometimes	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	The area and separation are the same therefore the ABSOLUTE charge is the same. The charge is negative with the -10 volt and positive with the +10 volt but the abolute plate charge is the same	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	The plates are more align and therefore, more interaction can occur between the charges. this makes the plate charge greater if more charges are interacting. 		less		less		same?		less	Somewhat	Not at all	Somewhat	Not at all	Not at all	Somewhat	Mostly	Somewhat	Somewhat	Mostly	Not at all	Mostly	Definitely	Somewhat	Somewhat	Mostly	Not at all	Somewhat	Somewhat	Not at all	Somewhat	Definitely	Not at all	Mostly	Mostly	1.0				Capacitance	2	89047164
9	18-19	To ensure you get the right answer since it is absolute plate charge, battery voltage must always have a positive value. Other than that, the formula implies that when voltage and plate area is increased, plate charge increases and the distance between the plate separation decreases the plate charge is correct	there does not need to have a negative sign on the V, because absolute charge is always positive. 	Fluent	Fluent				1.0	60000168	*Undeclared	I immediately identified the variables through the screenshot provided and instead of just playing with the virtual lab, I immediately tried to answer the questions given because of the time limit. 	I liked that this lab was clearer, however, in both virtual labs I did not need the use of the graphs to answer the questions and found that rather redundant. 	Not at all	Definitely	Not at all	Definitely	Almost always	Often	Often	Almost always	Almost always		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	This is because 'absolute' charge does not consider negative values and thus the 10 volts and -10 volts will produce the same absolute plate charge	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	The area in which the plate are able to contact each other is important from what I gathered in the simulation the plate area interact with one another to affect the absolute plate charge		0.5		2		0.25		1	Mostly	Mostly	Definitely	Somewhat	Somewhat	Definitely	Definitely	Definitely	Definitely	Definitely	Mostly	Mostly	Somewhat	Somewhat	Definitely	Definitely	Mostly	Definitely	Mostly	Mostly	Definitely	Mostly	Somewhat	Definitely	Definitely	1.0				Capacitance	2	60000168
10	18-19	yes the formula is correct because the charge on the plate depends on the area of the plates, voltage, and the distance between the plates 	the formula does contain all the factors that affect the charge on plates, however, i'm not sure whether multiplying and dividing the numerical value of the factors are correct 	Fluent	Fluent				1.0	86699164	*Undeclared	I learned how different factors affect the charge on plates, however, i didn't learn the reason behind why they affected it in that way 	I think the virtual lab was easy to navigate and you could easily see the relationship between changing different factors and their outcome, however, next time, I would try to understand the reason behind why the factors affected the system the way that it did\n	Definitely	Not at all	Somewhat	Mostly	Sometimes	Sometimes	Often	Sometimes	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	they should give the same charge since it only switches the charge to the different plate, but the plates still have the same amount of charge	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	aligned plates should have more charge because they have more surface area that are able to hole the charge between them 		0.5		0.5		2.5		1	Not at all	Not at all	Somewhat	Not at all	Mostly	Mostly	Somewhat	Not at all	Mostly	Somewhat	Not at all	Somewhat	Somewhat	Not at all	Definitely	Mostly	Somewhat	Somewhat	Somewhat	Not at all	Mostly	Definitely	Somewhat	Definitely	Mostly	1.0				Capacitance	2	86699164
11	20-22	this equaiton seems to be correct as we want to add the different values of voltage and area as they get larger and subtract the value of the separation when they get further apart because the displacement can be viewed as negative	this equation seems to be incorrect because the change in charge did not seem to be exponential compared to any other variables when the plate separation was changed. The top part of the equation seems to be correct however	Fluent	Fluent		1.0			59043165	Geology	the graphing section did not work for me in this part of the experiment so i could not make any graphs to tell more accurate relationships between the changing variables. other than that my approach to the experiment was similar to the first, I did try to keep in mind some numerical values this time however.	try to get the graphing part to work. try to take down more numerical values and write down potential relationships with these numerical vlaues and variables as i work my way through the questions adn experiment	Somewhat	Somewhat	Somewhat	Somewhat	Often	Often	Sometimes	Sometimes	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	positive voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	the lgihtbulb burned for a longer period of time with positive charge	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	charges can balance on the plates more easily\n		02-Jan		02-Jan		1		04-Jan	Mostly	Not at all	Not at all	Mostly	Mostly		Somewhat	Somewhat	Mostly	Mostly	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Mostly	Mostly	Not at all	Mostly	Mostly	Somewhat	Somewhat	Not at all	Somewhat		1.0			Capacitance	2	59043165
