	sid	level_experience_sims	similar_L	similar_C	experience_undergrad_lab_physics
5	77047160	2	0	0	1
6	23836160	0	0	0	1
7	64006159	1	0	0	1
8	24566161	3	0	1	1
9	46792161	2	1	0	1
10	82788161	3	0	0	1
11	27451164	2	0	0	1
12	24511163	1	0	0	1
13	90447168	2	0	0	1
14	41947147	3	0	1	1
15	11929166	2	0	0	1
16	11612162	1	1	0	1
17	15055169	2	0	0	1
18	85915167	2	0	0	1
19	59043165	0	0	0	1
20	10375163	2	0	0	1
21	61406163	1	0	0	1
22	19344143	2	0	0	1
23	22340167	1	0	0	1
24	89047164	1	1	0	1
25	55825144	2	0	0	0
26	83145167	2	1	0	1
27	26984162	2	0	0	1
28	53262971	1	0	0	0
29	36107164	3	1	0	1
30	78992166	3	1	0	1
32	60000168	2	0	0	1
33	86699164	1	0	0	1
35	18247165	1	0	0	1
36	51717164	1	0	1	1
38	13193166	1	0	0	1
39	18365162	3	0	0	1
40	11997159	2	0	0	1
41	19780165	1	0	0	0
43	10561164	2	0	0	1
44	19562150	1	1	0	1
45	13981167	3	1	0	1
46	13726167	2	1	1	1
47	15072160	3	1	0	1
48	18922151	1	1	0	1
49	13228164	3	0	0	1
50	12406161	2	0	0	1
51	18591168	3	0	0	1
52	12707161	3	1	0	1
53	16752165	2	1	1	1
54	17868168	2	1	0	1
55	17018157	1	0	0	1
56	17071167	3	1	0	1
57	17502161	3	1	0	1
58	14293162	3	0	0	1
59	17729162	1	0	0	1
61	10866146	0	0	0	0
62	10908162	2	1	0	1
63	19553138	2	1	0	1
64	16618163	1	0	0	0
65	13654167	1	0	0	1
66	16237162	2	1	0	1
67	14002169	2	0	0	1
68	18162165	3	1	0	1
69	12329163	2	0	0	1
70	17036164	1	0	0	1
71	10192168	1	0	0	0
72	10420167	3	0	0	1
73	11095146	1	0	0	1
74	10232160	1	1	0	1
75	19196162	3	1	1	1
76	14302168	2	0	0	1
77	11326321	2	1	0	0
78	17597160	2	0	0	0
79	17114169	3	0	0	1
81	17083161	1	0	0	1
82	12263156	2	1	0	1
83	13624169	2	0	0	0
84	12302161	3	0	0	1
85	19862157	1	1	0	1
86	12238164	2	1	0	1
87	17107166	3	1	0	1
88	19933165	3	0	0	1
89	19089138	1	0	0	0
90	11892169	2	1	0	1
91	10970160	2	1	1	1
92	17931169	1	0	0	0
93	15444164	0	0	0	1
94	17448165	2	1	0	1
95	15317162	1	0	0	1
96	14201151	2	0	0	1
97	14828163	2	0	0	1
98	15188167	0	0	0	0
99	13139162	2	0	0	1
100	19566168	1	0	0	1
101	14805169	2	0	0	1
102	17007153	2	0	0	1
103	15298166	1	0	0	0
104	19023153	0	0	0	0
105	10127163	1	0	0	1
106	13122150	2	0	0	1
107	19608154	3	0	0	1
108	19416160	1	0	0	0
109	19989152	2	0	0	1
110	10708152	2	0	0	1
111	18527162	3	0	0	0
112	15026512	2	0	0	1
113	15457134	0	0	0	0
114	11384795	0	0	0	0
115	13134165	0	0	0	1
116	16606167	3	1	1	1
117	14088168	2	0	0	1
118	16136159	2	0	0	1
119	18174154	3	0	0	1
120	15496161	2	0	0	1
121	18866165	3	1	0	0
122	17691169	1	1	0	0
123	19018165	0	0	0	0
124	16657165	3	1	0	1
125	16317166	1	1	0	1
126	16961152	3	1	0	0
127	16901162	2	0	0	1
128	12665164	3	0	1	1
129	15160164	3	1	0	1
130	12907149	2	0	0	1
131	13140165	2	0	1	1
132	13945160	2	1	0	0
133	12816168	3	1	0	1
134	16233163	2	0	0	1
135	14055131	2	1	0	1
136	13870641	1	1	1	1
137	17168593	0	0	0	1
138	11777163	2	0	0	1
139	10537160	1	1	0	0
140	14261165	3	0	0	1
141	17347163	3	0	0	1
142	11394167	0	0	0	0
143	13407169	3	0	0	0
144	17701169	1	0	0	0
160	19618321	3	0	0	0
161	19470169	3	0	0	1
163	17576140	2	1	0	1
168	12017165	2	1	0	1
171	13578154	0	0	0	1
176	19436162	3	1	0	1
184	16328144	0	0	0	0
187	17112137	1	0	0	0
190	15884161	2	0	1	1
197	15749160	3	1	0	1
200	19053161	3	1	0	1
201	19913165	0	0	0	0
202	17655165	3	1	1	1
204	13660166	1	1	0	0
