studentid	Battery voltage	Area	Separation	Wavelength	Width	Concentration
11612162	False	False	False	True	False	False
13660166	False	False	False	False	False	False
41947147	False	False	False	True	False	True
64006159	False	False	False	False	False	False
15749160	False	False	False	False	False	False
16901162	False	False	False	False	False	False
51717164	False	False	False	False	False	False
10970160	False	True	True	False	False	False
17114169	False	False	False	False	False	False
17071167	True	True	False	False	False	False
17112137	True	False	False	False	False	False
19416160	False	False	False	False	False	False
11095146	False	False	False	False	False	False
11394167	False	False	False	False	False	True
89047164	True	True	False	False	False	False
13228164	False	True	False	False	False	False
11777163	False	False	True	False	False	False
13654167	False	False	False	False	True	False
86699164	False	False	False	True	False	False
15317162	False	False	False	False	False	False
14805169	False	False	True	False	False	False
10708152	False	False	False	False	False	False
15444164	True	True	False	True	False	True
13140165	False	False	False	False	False	False
15188167	True	True	False	True	False	False
10537160	False	False	False	False	False	False
18174154	False	False	True	False	False	False
12329163	True	False	False	False	False	False
17576140	False	False	False	False	False	False
17168593	False	False	False	True	False	False
13139162	False	False	False	False	False	False
17107166	False	True	False	False	True	False
17448165	False	False	False	False	False	False
19196162	False	False	True	True	True	False
17007153	False	True	False	False	False	False
17018157	False	False	False	False	False	True
19023153	False	False	False	False	False	False
14201151	False	False	False	False	False	False
90447168	False	False	True	False	True	False
15055169	False	False	False	False	False	False
13945160	False	False	False	False	False	False
12665164	False	False	False	False	False	False
15026512	False	False	False	False	False	False
12238164	True	True	False	False	False	False
13134165	False	False	False	True	False	False
12707161	False	True	True	False	False	False
59043165	False	False	False	True	False	True
10232160	False	True	False	False	False	False
24566161	False	False	False	False	False	False
77047160	False	True	False	False	False	True
17655165	False	False	False	False	False	False
17868168	False	False	False	False	False	False
12406161	False	False	False	False	False	False
19018165	False	True	True	False	False	False
18591168	True	False	False	False	False	False
11892169	False	False	False	False	False	False
19913165	False	True	False	True	False	False
83145167	True	True	False	False	False	False
16328144	False	True	False	False	False	False
13726167	False	True	False	False	False	False
46792161	False	False	False	False	False	False
10866146	False	False	False	True	False	False
13981167	False	False	False	False	False	False
18162165	False	False	True	True	False	False
18247165	False	False	False	False	False	True
23836160	False	False	True	False	False	True
10908162	False	False	False	False	False	False
12017165	False	False	False	False	False	False
19618321	False	False	False	True	False	False
85915167	False	False	False	False	False	False
17691169	False	True	True	False	False	True
16752165	False	False	True	False	False	False
13870641	False	False	False	False	False	False
19780165	False	False	False	False	False	False
22340167	False	False	True	True	False	False
11929166	False	False	False	False	False	True
19566168	False	False	False	False	False	False
19608154	False	False	False	False	False	False
17347163	False	True	False	False	True	False
13122150	False	False	False	False	False	False
19053161	False	True	True	False	False	False
16237162	False	False	False	False	False	False
15298166	False	False	True	False	False	False
53262971	True	False	False	False	False	False
16961152	False	False	True	False	False	False
19436162	False	True	True	False	False	True
14828163	False	False	False	False	False	False
17729162	False	False	False	False	False	False
10561164	False	False	False	True	False	False
12907149	False	False	False	False	False	True
19989152	False	False	False	False	False	True
19562150	False	False	False	True	False	False
18922151	False	False	False	False	False	True
16618163	False	False	False	False	False	False
24511163	False	True	False	False	False	False
16233163	False	False	False	False	False	False
14055131	False	False	False	False	False	False
26984162	False	True	False	False	False	False
17597160	False	True	False	False	False	True
18365162	False	False	True	False	False	True
16317166	False	False	False	False	False	False
10192168	False	False	False	False	True	False
19089138	False	False	False	False	False	False
12263156	False	False	False	False	False	False
55825144	False	True	False	False	False	False
16657165	False	False	False	False	False	False
19344143	False	False	False	False	False	False
17083161	False	False	False	False	False	False
27451164	False	False	False	False	False	False
78992166	False	True	False	True	False	True
17701169	False	False	False	False	False	False
12816168	False	False	False	False	False	True
10127163	False	False	False	False	False	True
82788161	False	False	False	False	False	False
19862157	False	False	True	False	False	False
12302161	False	False	False	False	False	False
19470169	False	False	False	True	False	True
15160164	False	False	False	False	True	False
13624169	False	False	False	False	False	False
15457134	False	False	False	False	False	False
11326321	False	False	False	False	False	False
19553138	False	False	False	True	False	True
15884161	False	False	False	True	False	False
17036164	False	False	False	False	False	True
36107164	False	False	False	False	False	False
15072160	False	True	False	False	False	False
17931169	False	True	False	False	False	False
60000168	False	False	False	False	False	False
13578154	False	True	True	False	False	False
14261165	False	False	False	False	True	False
18527162	False	False	False	False	False	True
13407169	False	False	False	False	True	False
10420167	False	True	False	False	False	False
13193166	False	False	False	False	False	False
17502161	False	False	True	False	False	False
61406163	False	False	True	True	False	False
16606167	False	False	False	False	False	False
14302168	False	False	True	False	False	False
11384795	False	False	False	False	False	True
16136159	False	True	False	False	False	False
15496161	False	False	False	True	False	False
11997159	False	False	False	False	False	False
14088168	False	False	False	False	False	False
19933165	False	False	False	False	False	False
18866165	False	False	False	False	False	False
14002169	False	False	False	False	False	False
10375163	False	False	True	False	False	False
14293162	False	False	False	False	True	False
