studentid	use_table	use_graph
11612162	1	1
13660166	1	1
41947147	1	1
64006159	1	1
15749160	1	1
16901162	1	1
51717164	1	1
10970160	1	1
17114169	1	1
17071167	1	1
17112137	1	0
19416160	1	1
11095146	1	0
11394167	1	1
89047164	1	0
13228164	1	0
11777163	1	1
13654167	1	1
86699164	1	1
15317162	1	0
14805169	1	1
10708152	1	1
15444164	1	1
13140165	1	0
15188167	1	1
10537160	1	0
18174154	1	1
12329163	1	1
17576140	1	1
17168593	1	1
13139162	1	1
17107166	1	1
17448165	1	1
19196162	1	1
17007153	1	1
17018157	1	1
19023153	1	0
14201151	1	1
90447168	1	1
15055169	1	1
13945160	1	1
12665164	1	1
15026512	1	1
12238164	1	1
13134165	1	1
12707161	1	1
59043165	1	1
10232160	1	1
24566161	1	1
77047160	1	1
17655165	1	0
17868168	1	1
12406161	1	1
19018165	1	1
18591168	1	1
11892169	1	1
19913165	1	1
83145167	1	1
16328144	1	1
13726167	1	1
46792161	1	1
10866146	1	1
13981167	1	0
18162165	1	1
18247165	1	1
23836160	1	1
10908162	1	1
12017165	1	0
19618321	1	1
85915167	1	1
17691169	1	1
16752165	1	1
13870641	1	1
19780165	1	1
22340167	1	1
11929166	1	1
19566168	1	1
19608154	1	1
17347163	1	1
13122150	1	1
19053161	1	1
16237162	1	1
15298166	1	1
53262971	1	1
16961152	1	1
19436162	1	1
14828163	1	1
17729162	1	0
10561164	1	1
12907149	1	1
19989152	1	1
19562150	1	1
18922151	1	0
16618163	1	0
24511163	1	1
16233163	1	1
14055131	1	1
26984162	1	1
17597160	1	1
18365162	1	1
16317166	1	1
10192168	1	1
19089138	1	0
12263156	1	1
55825144	1	1
16657165	1	1
19344143	1	1
17083161	1	1
27451164	1	0
78992166	1	1
17701169	1	0
12816168	1	1
10127163	1	1
82788161	1	1
19862157	1	1
12302161	1	1
19470169	1	0
15160164	1	1
13624169	1	0
15457134	1	0
11326321	1	1
19553138	1	1
15884161	1	1
17036164	1	1
36107164	1	1
15072160	1	1
17931169	1	0
60000168	1	0
13578154	1	1
14261165	1	1
18527162	1	1
13407169	1	1
10420167	1	1
13193166	1	1
17502161	1	1
61406163	1	1
16606167	1	1
14302168	1	1
11384795	1	1
16136159	1	1
15496161	1	1
11997159	1	0
14088168	1	1
19933165	1	1
18866165	1	1
14002169	1	1
10375163	1	1
14293162	1	1
