	session	use analysis	number of caps sessions	number of beers sessions	date caps 1	date caps 2	date caps 3	events caps 1	events caps 2	events caps 3	date beers 1	date beers 2	date beers 3	date beers 4	date beers 5	events beers 1	events beers 2	events beers 3	events beers 4	events beers 5	comments
11612162	2	True	1	1	2017-01-17_11.22.57	nan	nan	1917	0	0	2017-01-17_12.17.50	nan	nan	nan	nan	1484	0	0	0	0	
13660166	15	True	1	1	2017-03-28_16.20.11	nan	nan	3642	0	0	2017-03-28_15.28.56	nan	nan	nan	nan	3228	0	0	0	0	
41947147	2	True	1	1	2017-01-17_11.22.57	nan	nan	4162	0	0	2017-01-17_12.17.51	nan	nan	nan	nan	3678	0	0	0	0	
64006159	2	True	1	1	2017-01-17_12.17.34	nan	nan	1185	0	0	2017-01-17_11.22.34	nan	nan	nan	nan	2218	0	0	0	0	
15749160	14	True	2	1	2017-03-23_13.17.23	2017-03-23_13.25.52	nan	0	4019	0	2017-03-23_14.25.38	nan	nan	nan	nan	2298	0	0	0	0	
16901162	11	True	1	1	2017-03-21_17.27.09	nan	nan	1619	0	0	2017-03-21_18.25.03	nan	nan	nan	nan	2374	0	0	0	0	
51717164	3	True	1	1	2017-01-17_15.22.53	nan	nan	1761	0	0	2017-01-17_16.21.04	nan	nan	nan	nan	3397	0	0	0	0	
10970160	8	True	1	1	2017-01-23_16.21.03	nan	nan	4613	0	0	2017-01-23_15.24.13	nan	nan	nan	nan	5414	0	0	0	0	
17114169	7	True	1	1	2017-01-20_16.23.09	nan	nan	4389	0	0	2017-01-20_15.24.55	nan	nan	nan	nan	3701	0	0	0	0	
17071167	5	True	1	1	2017-01-19_14.21.48	nan	nan	3253	0	0	2017-01-19_13.26.00	nan	nan	nan	nan	4899	0	0	0	0	
17112137	14	True	1	1	2017-03-23_13.25.51	nan	nan	3928	0	0	2017-03-23_14.25.27	nan	nan	nan	nan	4753	0	0	0	0	
83459165	1	False	1	1	2017-01-13_13.29.38	nan	nan	5625	0	0	2017-01-13_14.26.08	nan	nan	nan	nan	6194	0	0	0	0	
19416160	10	True	1	1	2017-03-20_15.32.44	nan	nan	1983	0	0	2017-03-20_16.24.16	nan	nan	nan	nan	4790	0	0	0	0	
11095146	7	True	1	1	2017-01-20_15.25.06	nan	nan	3271	0	0	2017-01-20_16.23.24	nan	nan	nan	nan	5663	0	0	0	0	
11394167	11	True	1	1	2017-03-21_18.25.37	nan	nan	692	0	0	2017-03-21_17.28.45	nan	nan	nan	nan	3283	0	0	0	0	
89047164	3	True	1	1	2017-01-17_16.20.58	nan	nan	2041	0	0	2017-01-17_15.22.57	nan	nan	nan	nan	1258	0	0	0	0	
13228164	5	True	1	1	2017-01-19_14.21.35	nan	nan	4806	0	0	2017-01-19_13.25.28	nan	nan	nan	nan	4931	0	0	0	0	
11777163	11	True	1	1	2017-03-21_17.28.21	nan	nan	2359	0	0	2017-03-21_18.25.08	nan	nan	nan	nan	1130	0	0	0	0	
13654167	6	True	1	1	2017-01-20_12.18.27	nan	nan	1756	0	0	2017-01-20_11.22.41	nan	nan	nan	nan	2182	0	0	0	0	
