	Battery voltage	Area	Separation	Wavelength	Width	Concentration
11612162	0	0	0	2	0	3
13660166	0	0	0	0	0	14
41947147	0	0	0	7	5	7
64006159	0	0	0	5	0	6
15749160	0	2	0	0	4	10
16901162	0	0	0	0	6	5
51717164	0	0	0	8	11	10
10970160	0	4	7	0	0	4
17114169	0	0	0	0	6	0
17071167	0	4	4	0	2	2
17112137	0	0	0	0	0	0
19416160	0	0	2	0	2	0
11095146	0	0	0	0	0	0
11394167	0	0	0	0	0	2
89047164	0	0	0	0	0	0
13228164	0	0	0	0	0	0
11777163	0	0	0	8	5	5
13654167	0	0	3	0	5	0
86699164	0	0	5	6	0	0
15317162	0	0	0	0	0	0
14805169	0	7	6	0	9	0
10708152	0	0	0	9	8	9
15444164	0	2	0	0	0	0
13140165	0	0	0	0	0	0
15188167	0	2	2	0	2	0
10537160	0	0	0	0	0	0
18174154	5	13	5	8	7	8
12329163	3	0	0	0	4	5
17576140	9	6	7	0	7	8
17168593	6	4	5	5	7	6
13139162	0	0	0	0	0	0
17107166	8	7	5	10	4	5
17448165	9	4	3	11	6	7
19196162	5	6	9	15	12	9
17007153	0	0	0	0	4	5
17018157	0	0	0	0	2	0
19023153	0	0	0	0	0	0
14201151	0	0	2	0	0	3
90447168	0	7	9	11	4	5
15055169	0	6	6	6	7	4
13945160	0	0	0	3	3	2
12665164	7	9	7	12	22	8
15026512	8	6	4	0	7	6
12238164	2	2	2	0	0	0
13134165	0	0	0	0	11	9
12707161	9	9	9	0	9	11
59043165	0	0	0	7	4	5
10232160	5	6	4	0	0	4
24566161	5	6	6	13	8	5
77047160	8	4	5	7	5	4
17655165	0	0	0	0	0	0
17868168	0	5	5	0	0	2
12406161	5	4	5	4	0	5
19018165	8	0	0	0	3	0
18591168	0	0	0	0	5	0
11892169	2	0	0	3	0	0
19913165	0	3	4	16	0	0
83145167	0	0	0	0	5	4
16328144	0	7	0	0	4	8
13726167	0	0	5	5	0	9
46792161	7	5	5	4	5	6
10866146	0	0	0	10	0	6
13981167	0	0	0	0	0	0
18162165	0	7	5	0	7	7
18247165	0	6	5	6	9	6
23836160	0	7	5	6	4	7
10908162	0	7	4	0	0	6
12017165	0	0	0	0	0	0
19618321	0	0	0	0	2	0
85915167	5	5	5	0	6	5
17691169	5	4	4	3	3	3
16752165	0	7	9	0	2	0
13870641	0	2	0	0	0	0
19780165	0	7	5	0	0	5
22340167	11	4	7	15	23	20
11929166	0	9	8	0	6	9
19566168	0	0	0	3	0	0
19608154	0	0	0	0	0	0
17347163	2	4	3	17	4	5
13122150	0	5	4	8	0	0
19053161	0	15	9	27	0	0
16237162	8	7	4	2	11	8
15298166	0	4	6	4	0	0
15554169	0	0	0	8	4	5
53262971	0	0	0	0	0	0
16961152	0	2	0	0	0	0
19436162	7	11	15	15	7	10
14828163	0	0	4	2	14	10
17729162	0	0	0	0	0	0
10561164	5	11	7	10	9	7
12907149	6	3	2	8	7	8
19989152	0	11	9	0	3	0
19562150	7	3	0	13	0	0
18922151	0	0	0	0	0	0
16618163	0	0	0	0	0	0
24511163	0	5	6	2	6	8
16233163	0	0	4	0	0	0
14055131	2	3	3	0	2	4
26984162	0	0	0	0	0	0
17597160	0	2	2	2	2	3
18365162	6	5	8	6	9	7
16317166	0	5	0	0	10	0
10192168	2	0	4	6	7	6
19089138	0	0	0	0	0	0
12263156	2	0	0	0	3	0
55825144	2	0	0	0	0	0
16657165	0	0	0	0	0	5
19344143	0	2	2	0	0	0
17083161	0	0	0	0	0	0
27451164	0	0	0	0	0	0
78992166	6	6	5	9	6	15
17701169	0	0	0	0	0	0
12816168	0	10	6	0	7	6
10127163	0	8	5	9	7	6
82788161	0	8	7	12	0	0
19862157	3	2	6	9	8	10
12302161	0	0	0	2	0	0
19470169	0	0	0	0	0	0
15160164	0	0	0	0	4	0
13624169	0	0	0	0	0	0
15457134	0	0	0	0	0	0
11326321	0	0	0	0	0	4
19553138	0	5	0	15	7	9
15884161	0	0	0	18	0	5
17036164	0	0	9	0	0	4
36107164	0	6	4	0	6	5
15072160	0	5	0	0	5	5
17931169	0	0	0	0	0	0
60000168	0	0	0	0	0	0
13578154	4	7	6	6	15	9
14261165	0	0	0	14	7	0
18527162	5	4	6	4	4	5
13407169	0	4	5	5	4	4
10420167	4	8	5	0	7	6
13193166	3	4	4	0	4	4
17502161	0	4	6	10	15	0
61406163	6	11	6	9	10	9
16606167	5	5	6	0	4	0
14302168	7	7	5	9	8	5
11384795	0	0	0	0	0	0
16136159	5	2	0	7	4	0
15496161	0	0	0	0	2	0
11997159	0	0	0	0	0	0
14088168	6	0	0	14	0	0
19933165	4	3	0	0	0	4
18866165	7	8	4	0	6	7
14002169	9	12	9	8	4	3
10375163	0	0	2	0	4	0
14293162	5	4	3	0	4	8
