studentid	Battery voltage	Area	Separation	Wavelength	Width	Concentration
11612162	0	0	0	3	2	3
13660166	0	0	0	0	0	14
41947147	2	0	0	14	6	7
64006159	0	0	0	5	0	6
15749160	0	2	3	0	4	10
16901162	0	0	0	0	6	5
51717164	2	0	0	12	11	11
10970160	0	4	7	5	3	5
17114169	0	0	0	0	7	0
17071167	3	4	5	2	2	2
17112137	3	3	3	0	0	0
19416160	0	2	2	0	2	2
11095146	0	0	0	0	5	0
11394167	0	0	0	2	2	3
89047164	3	4	3	4	2	4
13228164	2	2	2	2	3	2
11777163	2	0	3	8	5	5
13654167	5	3	3	4	6	2
86699164	0	0	5	7	0	0
15317162	2	2	2	0	3	3
14805169	0	7	6	7	9	2
10708152	0	0	0	10	8	9
15444164	4	3	2	3	4	4
13140165	3	2	2	2	0	0
15188167	3	2	2	3	2	0
10537160	3	0	0	6	0	3
18174154	6	13	5	8	7	9
12329163	3	2	0	10	3	6
17576140	9	6	7	0	7	8
17168593	6	4	5	6	7	6
13139162	0	0	0	0	0	0
17107166	8	7	5	10	4	5
17448165	9	4	3	11	6	7
19196162	7	6	11	22	18	9
17007153	4	6	5	0	4	5
17018157	0	2	2	0	2	3
19023153	0	0	0	0	0	0
14201151	0	0	2	2	3	3
90447168	6	7	9	11	4	5
15055169	0	6	7	6	7	4
13945160	0	0	0	3	3	3
12665164	7	9	7	12	23	8
15026512	10	7	4	8	7	6
12238164	5	2	2	2	0	0
13134165	0	0	0	11	11	9
12707161	9	9	9	0	9	11
59043165	0	0	4	8	4	5
10232160	5	5	5	0	0	4
24566161	5	6	7	13	9	5
77047160	9	4	5	7	6	5
17655165	0	0	0	0	0	0
17868168	2	5	7	0	0	3
12406161	6	5	8	4	5	5
19018165	8	3	4	8	5	3
18591168	2	0	0	0	6	0
11892169	2	2	2	3	3	0
19913165	0	3	5	16	6	7
83145167	5	3	2	12	6	5
16328144	0	8	0	0	4	8
13726167	8	10	6	5	7	9
46792161	7	6	5	4	5	6
10866146	0	0	0	10	0	6
13981167	2	0	0	2	2	0
18162165	0	8	5	9	7	7
18247165	7	6	6	7	9	6
23836160	0	8	6	7	5	7
10908162	0	7	4	0	0	6
12017165	3	0	0	0	2	0
19618321	0	0	0	16	3	0
85915167	6	5	5	0	6	6
17691169	5	4	4	3	3	3
16752165	0	7	10	0	2	0
13870641	0	2	0	0	0	0
19780165	0	7	5	0	0	6
22340167	11	4	7	15	23	20
11929166	6	9	8	0	6	9
19566168	0	0	0	3	0	2
19608154	0	0	0	0	2	0
17347163	3	4	3	17	5	6
13122150	0	5	5	8	0	0
19053161	0	16	9	27	0	0
16237162	8	7	4	2	11	8
15298166	0	4	6	5	2	0
15554169	0	0	0	9	4	5
53262971	3	3	2	6	0	0
16961152	0	2	3	4	0	0
19436162	7	11	17	15	7	10
14828163	0	0	4	2	16	10
17729162	0	0	0	0	2	2
10561164	5	14	8	10	11	7
12907149	6	3	2	8	7	8
19989152	8	11	13	0	5	10
19562150	8	4	3	13	0	0
18922151	0	2	2	2	0	2
16618163	3	0	0	0	0	0
24511163	7	6	6	9	7	8
16233163	0	0	0	2	0	0
14055131	3	3	3	5	4	4
26984162	4	3	3	8	0	0
17597160	4	3	2	2	2	4
18365162	6	5	10	6	10	7
16317166	0	5	0	0	11	9
10192168	2	2	4	6	9	6
19089138	2	0	2	0	0	0
12263156	2	2	2	3	3	3
55825144	2	2	0	3	2	2
16657165	0	2	2	0	0	5
19344143	0	3	2	0	0	0
17083161	0	0	0	6	2	2
27451164	3	0	0	2	2	3
78992166	6	7	5	9	6	15
17701169	0	0	0	0	0	0
12816168	13	15	7	9	8	7
10127163	10	8	5	9	7	7
82788161	0	8	7	12	0	0
19862157	5	2	7	9	8	10
12302161	4	2	0	3	0	0
19470169	0	3	3	4	0	3
15160164	2	0	0	0	4	0
13624169	0	0	0	6	0	0
15457134	0	0	0	0	0	0
11326321	0	0	0	0	2	4
19553138	9	6	0	17	7	9
15884161	0	0	0	20	0	5
17036164	8	5	10	3	6	5
36107164	0	6	4	4	7	5
15072160	0	5	0	0	5	5
17931169	2	3	2	2	2	2
60000168	2	0	0	3	0	0
13578154	4	7	6	6	15	9
14261165	0	2	2	14	7	3
18527162	6	4	6	4	4	5
13407169	0	4	5	6	5	4
10420167	4	8	5	0	8	6
13193166	5	4	4	0	4	4
17502161	0	4	7	10	15	0
61406163	8	11	6	9	11	10
16606167	5	5	7	0	4	7
14302168	7	8	6	9	9	6
11384795	0	0	0	2	2	2
16136159	7	3	2	7	4	0
15496161	2	0	2	3	2	2
11997159	4	3	3	4	3	7
14088168	6	0	0	14	0	0
19933165	4	3	0	0	0	4
18866165	7	8	4	0	6	7
14002169	9	15	10	9	4	4
10375163	0	6	9	6	4	5
14293162	5	4	4	0	4	8
