User	Sim	Time	Index	User or Model?	Event	Item	Action	Charge	Connection	Voltage	Separation	Area	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
10708152	capacitor_charge	0.0	0	model	initializing	sim	addExpressions												
10708152	capacitor_charge	0.94	1	model	initializing	sim	launchSimulation												
10708152	capacitor_charge	0.97	2	model	initializing	sim	capacitorLabBasics.sim.simStarted												
10708152	capacitor_charge	0.98	4	model	updating state			0.0	BATTERY_CONNECTED	0.0	10.0	100.0							
10708152	capacitor_charge	18.19	1155	user	dragStarted	batteryNode													
10708152	capacitor_charge	18.46	1167	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	18.46	1169	model	updating state			0.0	BATTERY_CONNECTED	0.0451	10.0	100.0							
10708152	capacitor_charge	18.5	1172	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	18.5	1175	model	updating state			0.02	BATTERY_CONNECTED	0.2253	10.0	100.0							
10708152	capacitor_charge	18.54	1178	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	18.55	1181	model	updating state			0.03	BATTERY_CONNECTED	0.3604	10.0	100.0							
10708152	capacitor_charge	18.55	1184	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	18.56	1187	model	updating state			0.04	BATTERY_CONNECTED	0.4055	10.0	100.0							
10708152	capacitor_charge	18.56	1190	model	updating state			0.04	BATTERY_CONNECTED	0.4055	10.0	100.0							
10708152	capacitor_charge	18.62	1197	user	dragEnded	batteryNode													
10708152	capacitor_charge	19.12	1230	user	dragStarted	batteryNode													
10708152	capacitor_charge	19.34	1243	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	19.36	1246	model	updating state			0.04	BATTERY_CONNECTED	0.4505	10.0	100.0							
10708152	capacitor_charge	19.39	1249	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	19.39	1252	model	updating state			0.05	BATTERY_CONNECTED	0.5857	10.0	100.0							
10708152	capacitor_charge	19.41	1255	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	19.41	1258	model	updating state			0.06	BATTERY_CONNECTED	0.6308	10.0	100.0							
10708152	capacitor_charge	19.41	1261	model	updating state			0.06	BATTERY_CONNECTED	0.6308	10.0	100.0							
10708152	capacitor_charge	19.46	1265	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	19.47	1268	model	updating state			0.06	BATTERY_CONNECTED	0.6758	10.0	100.0							
10708152	capacitor_charge	19.47	1271	model	updating state			0.06	BATTERY_CONNECTED	0.6758	10.0	100.0							
10708152	capacitor_charge	19.49	1275	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	19.5	1278	model	updating state			0.06	BATTERY_CONNECTED	0.7209	10.0	100.0							
10708152	capacitor_charge	19.51	1281	model	updating state			0.06	BATTERY_CONNECTED	0.7209	10.0	100.0							
10708152	capacitor_charge	19.57	1287	user	dragEnded	batteryNode													
10708152	capacitor_charge	19.8	1304	user	dragStarted	batteryNode													
10708152	capacitor_charge	19.99	1316	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.02	1319	model	updating state			0.07	BATTERY_CONNECTED	0.811	10.0	100.0							
10708152	capacitor_charge	20.04	1322	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.05	1325	model	updating state			0.08	BATTERY_CONNECTED	0.856	10.0	100.0							
10708152	capacitor_charge	20.05	1328	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.06	1331	model	updating state			0.08	BATTERY_CONNECTED	0.9011	10.0	100.0							
10708152	capacitor_charge	20.06	1334	model	updating state			0.08	BATTERY_CONNECTED	0.9011	10.0	100.0							
10708152	capacitor_charge	20.18	1343	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.2	1346	model	updating state			0.08	BATTERY_CONNECTED	0.9461	10.0	100.0							
10708152	capacitor_charge	20.2	1349	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.2	1352	model	updating state			0.09	BATTERY_CONNECTED	0.9912	10.0	100.0							
10708152	capacitor_charge	20.21	1355	model	updating state			0.09	BATTERY_CONNECTED	0.9912	10.0	100.0							
10708152	capacitor_charge	20.31	1363	user	dragEnded	batteryNode													
10708152	capacitor_charge	20.57	1383	user	dragStarted	batteryNode													
10708152	capacitor_charge	20.75	1396	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.77	1399	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.77	1402	model	updating state			0.1	BATTERY_CONNECTED	1.0813	10.0	100.0							
10708152	capacitor_charge	20.78	1405	user	dragged	batteryNode	increasing												
10708152	capacitor_charge	20.78	1408	model	updating state			0.11	BATTERY_CONNECTED	1.2164	10.0	100.0							
10708152	capacitor_charge	20.79	1411	model	updating state			0.11	BATTERY_CONNECTED	1.2164	10.0	100.0							
10708152	capacitor_charge	20.92	1422	user	dragEnded	batteryNode													
10708152	capacitor_charge	21.21	1442	user	dragStarted	batteryNode													
10708152	capacitor_charge	21.37	1453	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	21.37	1456	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	21.39	1459	model	updating state			0.1	BATTERY_CONNECTED	1.1263	10.0	100.0							
10708152	capacitor_charge	21.4	1462	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	21.4	1465	model	updating state			0.09	BATTERY_CONNECTED	1.0362	10.0	100.0							
10708152	capacitor_charge	21.43	1468	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	21.43	1471	model	updating state			0.09	BATTERY_CONNECTED	0.9912	10.0	100.0							
10708152	capacitor_charge	21.44	1474	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	21.44	1477	model	updating state			0.08	BATTERY_CONNECTED	0.9011	10.0	100.0							
10708152	capacitor_charge	21.46	1480	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	21.46	1483	model	updating state			0.08	BATTERY_CONNECTED	0.856	10.0	100.0							
10708152	capacitor_charge	21.46	1486	model	updating state			0.08	BATTERY_CONNECTED	0.856	10.0	100.0							
10708152	capacitor_charge	21.49	1490	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	21.5	1493	model	updating state			0.07	BATTERY_CONNECTED	0.811	10.0	100.0							
10708152	capacitor_charge	21.51	1496	model	updating state			0.07	BATTERY_CONNECTED	0.811	10.0	100.0							
10708152	capacitor_charge	21.61	1504	user	dragEnded	batteryNode													
10708152	capacitor_charge	22.29	1548	user	dragStarted	batteryNode													
10708152	capacitor_charge	22.39	1556	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.39	1559	model	updating state			0.07	BATTERY_CONNECTED	0.7659	10.0	100.0							
10708152	capacitor_charge	22.41	1562	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.41	1565	model	updating state			0.06	BATTERY_CONNECTED	0.7209	10.0	100.0							
10708152	capacitor_charge	22.43	1568	model	updating state			0.06	BATTERY_CONNECTED	0.7209	10.0	100.0							
10708152	capacitor_charge	22.43	1571	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.44	1574	model	updating state			0.06	BATTERY_CONNECTED	0.6758	10.0	100.0							
10708152	capacitor_charge	22.47	1577	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.47	1580	model	updating state			0.05	BATTERY_CONNECTED	0.5857	10.0	100.0							
10708152	capacitor_charge	22.49	1583	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.49	1586	model	updating state			0.04	BATTERY_CONNECTED	0.4956	10.0	100.0							
10708152	capacitor_charge	22.5	1589	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.51	1592	model	updating state			0.04	BATTERY_CONNECTED	0.4055	10.0	100.0							
10708152	capacitor_charge	22.53	1595	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.53	1598	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.55	1601	model	updating state			0.02	BATTERY_CONNECTED	0.2703	10.0	100.0							
10708152	capacitor_charge	22.55	1604	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.55	1607	model	updating state			0.02	BATTERY_CONNECTED	0.1802	10.0	100.0							
10708152	capacitor_charge	22.57	1610	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.58	1613	model	updating state			0.01	BATTERY_CONNECTED	0.1352	10.0	100.0							
10708152	capacitor_charge	22.61	1616	user	dragged	batteryNode	decreasing												
10708152	capacitor_charge	22.61	1619	model	updating state			0.0	BATTERY_CONNECTED	0.0901	10.0	100.0							
