User	Sim	Time	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
11111111	light absorbance	0.0	0	model	initializing	sim	addExpressions														
11111111	light absorbance	0.73	1	model	initializing	sim	launchSimulation														
11111111	light absorbance	0.78	2	model	initializing	sim	beersLawLab.sim.simStarted														
11111111	light absorbance	0.79	4	model	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	0.82	7	model	initializing	sim	setText														
11111111	light absorbance	2.85	209	model	initializing	sim	beersLawLab.navigationBar.phetButton.fired														
11111111	light absorbance	3.92	298	model	initializing	sim	beersLawLab.sim.barrierRectangle.fired														
11111111	light absorbance	7.04	494	user	expanding table	table															
11111111	light absorbance	8.56	585	user	collapsing table	table															
11111111	light absorbance	13.73	1154	user	dragStarted	detectorNode															
11111111	light absorbance	13.78	1160	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.79	1163	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.8	1166	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.8	1168	model	updating state			False	780	1.0	0.1		{u'y': 2.0144827586206895, u'x': 6.256551724137931}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.82	1171	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.83	1173	model	updating state			False	780	1.0	0.1		{u'y': 2.0289655172413794, u'x': 6.213103448275862}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.84	1176	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.84	1178	model	updating state			False	780	1.0	0.1		{u'y': 2.043448275862069, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.85	1181	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.85	1184	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.85	1186	model	updating state			False	780	1.0	0.1		{u'y': 2.0724137931034483, u'x': 6.140689655172414}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.86	1189	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.87	1192	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.87	1194	model	updating state			False	780	1.0	0.1		{u'y': 2.086896551724138, u'x': 6.097241379310345}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.87	1197	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.88	1200	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.88	1202	model	updating state			False	780	1.0	0.1		{u'y': 2.115862068965517, u'x': 6.039310344827586}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.89	1205	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.89	1208	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.91	1210	model	updating state			False	780	1.0	0.1		{u'y': 2.1303448275862067, u'x': 6.0103448275862075}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.93	1213	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.93	1216	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.93	1218	model	updating state			False	780	1.0	0.1		{u'y': 2.159310344827586, u'x': 5.923448275862069}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.94	1221	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.94	1223	model	updating state			False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.894482758620691}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.95	1227	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.98	1229	model	updating state			False	780	1.0	0.1		{u'y': 2.1882758620689655, u'x': 5.865517241379311}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.98	1232	user	dragged	detectorNode	decreasing														
11111111	light absorbance	13.99	1234	model	updating state			False	780	1.0	0.1		{u'y': 2.202758620689655, u'x': 5.836551724137931}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	13.99	1237	user	dragged	detectorNode	decreasing														
11111111	light absorbance	14.0	1240	user	dragged	detectorNode	decreasing														
11111111	light absorbance	14.0	1242	model	updating state			False	780	1.0	0.1		{u'y': 2.2172413793103454, u'x': 5.793103448275862}	{u'y': 3.58, u'x': 3.3}							
11111111	light absorbance	14.01	1245	user	dragged	detectorNode	decreasing														
11111111	light absorbance	14.01	1248	user	dragged	detectorNode	decreasing														
