User	Sim	Time	Index	User or Model?	Event	Item	Action	Charge	Connection	Battery voltage	Separation	Area	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
12816168	capacitor_charge	0.0	0	model	initializing	sim	addExpressions												
12816168	capacitor_charge	0.94	1	model	initializing	sim	launchSimulation												
12816168	capacitor_charge	0.99	2	model	initializing	sim	capacitorLabBasics.sim.simStarted												
12816168	capacitor_charge	0.99	4	model	updating state			0.0	BATTERY_CONNECTED	0.0	10.0	100.0							
12816168	capacitor_charge	5.51	626	user	dragStarted	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.82	647	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.82	651	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.83	654	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.84	659	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.85	662	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.86	666	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.86	669	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.87	672	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.88	676	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.9	680	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.9	684	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.9	687	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.91	691	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.92	695	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	5.93	698	user	dragged	plateSeparationDragHandleNode													
12816168	capacitor_charge	6.31	724	user	dragEnded	plateSeparationDragHandleNode													
12816168	capacitor_charge	7.73	928	user	dragStarted	batteryNode													
12816168	capacitor_charge	8.24	955	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.27	958	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.28	961	model	updating state			0.02	BATTERY_CONNECTED	0.2703	10.0	100.0							
12816168	capacitor_charge	8.28	964	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.29	967	model	updating state			0.03	BATTERY_CONNECTED	0.3604	10.0	100.0							
12816168	capacitor_charge	8.29	970	model	updating state			0.03	BATTERY_CONNECTED	0.3604	10.0	100.0							
12816168	capacitor_charge	8.39	975	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.39	978	model	updating state			0.04	BATTERY_CONNECTED	0.4505	10.0	100.0							
12816168	capacitor_charge	8.4	981	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.4	984	model	updating state			0.04	BATTERY_CONNECTED	0.4956	10.0	100.0							
12816168	capacitor_charge	8.41	987	model	updating state			0.04	BATTERY_CONNECTED	0.4956	10.0	100.0							
12816168	capacitor_charge	8.91	1016	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.91	1019	model	updating state			0.05	BATTERY_CONNECTED	0.5406	10.0	100.0							
12816168	capacitor_charge	8.94	1022	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.94	1025	model	updating state			0.08	BATTERY_CONNECTED	0.9461	10.0	100.0							
12816168	capacitor_charge	8.97	1028	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	8.98	1031	model	updating state			0.1	BATTERY_CONNECTED	1.1714	10.0	100.0							
12816168	capacitor_charge	9.01	1034	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	9.01	1037	model	updating state			0.12	BATTERY_CONNECTED	1.3066	10.0	100.0							
12816168	capacitor_charge	9.02	1040	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	9.03	1043	model	updating state			0.13	BATTERY_CONNECTED	1.5	10.0	100.0							
12816168	capacitor_charge	9.04	1046	user	dragged	batteryNode													
12816168	capacitor_charge	9.05	1049	model	updating state			0.13	BATTERY_CONNECTED	1.5	10.0	100.0							
12816168	capacitor_charge	9.05	1052	user	dragged	batteryNode													
12816168	capacitor_charge	9.33	1069	user	dragged	batteryNode													
12816168	capacitor_charge	9.33	1073	user	dragged	batteryNode													
12816168	capacitor_charge	9.33	1076	user	dragged	batteryNode													
12816168	capacitor_charge	9.34	1080	user	dragged	batteryNode													
12816168	capacitor_charge	9.36	1084	user	dragged	batteryNode													
12816168	capacitor_charge	9.37	1087	user	dragged	batteryNode													
12816168	capacitor_charge	9.38	1091	user	dragged	batteryNode													
12816168	capacitor_charge	9.39	1095	user	dragged	batteryNode													
12816168	capacitor_charge	9.41	1099	user	dragged	batteryNode													
12816168	capacitor_charge	9.46	1105	user	dragged	batteryNode													
12816168	capacitor_charge	9.46	1108	user	dragged	batteryNode													
12816168	capacitor_charge	9.48	1112	user	dragged	batteryNode													
12816168	capacitor_charge	9.49	1115	user	dragged	batteryNode													
12816168	capacitor_charge	9.5	1119	user	dragged	batteryNode													
12816168	capacitor_charge	9.5	1122	user	dragged	batteryNode													
12816168	capacitor_charge	9.51	1126	user	dragged	batteryNode													
12816168	capacitor_charge	9.52	1129	user	dragged	batteryNode													
12816168	capacitor_charge	9.53	1133	user	dragged	batteryNode													
12816168	capacitor_charge	9.53	1136	user	dragged	batteryNode													
12816168	capacitor_charge	9.54	1140	user	dragged	batteryNode													
12816168	capacitor_charge	9.55	1143	user	dragged	batteryNode													
