User	Sim	Time	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
90447168	light_absorbance	0.0	0	model	initializing	sim	beersLawLab.sim.simStarted														
90447168	light_absorbance	0.0	2	model	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	0.01	17	model	initializing	sim	beersLawLab.navigationBar.titleTextNode.textChanged														
90447168	light_absorbance	3.06	572	user	toggle laser	laser button															
90447168	light_absorbance	3.08	574	model	updating state			True	780	1.0	0.1	0.96	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	5.54	1131	user	dragStarted	cuvetteNode															
90447168	light_absorbance	5.59	1136	user	dragged	cuvetteNode	increasing														
90447168	light_absorbance	5.59	1138	model	updating state			True	780	1.01	0.1	0.97	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	5.66	1145	user	dragged	cuvetteNode	increasing														
90447168	light_absorbance	5.68	1148	user	dragged	cuvetteNode	increasing														
90447168	light_absorbance	5.68	1150	model	updating state			True	780	1.02	0.1	0.98	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	5.72	1153	user	dragged	cuvetteNode	increasing														
90447168	light_absorbance	5.72	1155	model	updating state			True	780	1.03	0.1	0.99	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	5.73	1158	user	dragged	cuvetteNode	increasing														
90447168	light_absorbance	5.73	1161	user	dragged	cuvetteNode	increasing														
90447168	light_absorbance	5.73	1163	model	updating state			True	780	1.07	0.1	1.03	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	5.74	1166	user	dragged	cuvetteNode	increasing														
