User	Sim	Time	Index	User or Model?	Event	Item	Action	Charge	Connection	Battery voltage	Separation	Area	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
90447168	capacitor-lab-basics	0.0	0	model	initializing	sim	capacitorLabBasics.sim.simStarted												
90447168	capacitor-lab-basics	8.93	1	user	dragStarted	batteryNode													
90447168	capacitor-lab-basics	9.34	2	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.38	3	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.38	4	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.38	5	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.4	7	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.47	10	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.5	12	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.53	14	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.54	16	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	9.54	18	user	dragged	batteryNode													
90447168	capacitor-lab-basics	10.37	20	user	dragged	batteryNode													
90447168	capacitor-lab-basics	10.75	21	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	10.78	23	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	10.78	24	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	10.8	27	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	10.83	30	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	10.84	32	user	dragged	batteryNode													
90447168	capacitor-lab-basics	10.87	34	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	10.95	37	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.0	39	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.02	41	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.05	43	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.06	45	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.1	48	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.1	49	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.15	52	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.16	54	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.18	57	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.22	59	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.23	61	user	dragged	batteryNode	increasing												
90447168	capacitor-lab-basics	11.24	64	user	dragged	batteryNode	increasing												
