User	Sim	Timestamp	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
test		1484680967969	0	model	initializing	sim	beersLawLab.sim.simStarted														
test		1484680967970	2	model	updating state	none	none	False	780	1	0.1	None	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680967984	17	model	initializing	sim	beersLawLab.navigationBar.titleTextNode.textChanged														
test		1484680971026	572	user	toggle laser	laser button	none														
test		1484680971046	574	model	updating state	none	none	True	780	1	0.1	0.961	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973508	1131	user	dragStarted	cuvetteNode	none														
test		1484680973563	1136	user	dragged	cuvetteNode	increasing														
test		1484680973563	1138	model	updating state	none	none	True	780	1.008	0.1	0.968688	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973632	1145	user	dragged	cuvetteNode	increasing														
test		1484680973654	1148	user	dragged	cuvetteNode	increasing														
test		1484680973654	1150	model	updating state	none	none	True	780	1.024	0.1	0.984064	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973685	1153	user	dragged	cuvetteNode	increasing														
test		1484680973694	1155	model	updating state	none	none	True	780	1.032	0.1	0.991752	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973695	1158	user	dragged	cuvetteNode	increasing														
test		1484680973696	1161	user	dragged	cuvetteNode	increasing														
test		1484680973701	1163	model	updating state	none	none	True	780	1.072	0.1	1.030192	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973710	1166	user	dragged	cuvetteNode	increasing														
test		1484680973715	1168	model	updating state	none	none	True	780	1.088	0.1	1.045568	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973716	1171	user	dragged	cuvetteNode	increasing														
test		1484680973728	1173	model	updating state	none	none	True	780	1.104	0.1	1.060944	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973743	1176	user	dragged	cuvetteNode	increasing														
test		1484680973743	1178	model	updating state	none	none	True	780	1.112	0.1	1.068632	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973775	1183	user	dragged	cuvetteNode	increasing														
test		1484680973794	1185	model	updating state	none	none	True	780	1.12	0.1	1.07632	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973984	1198	user	dragged	cuvetteNode	increasing														
test		1484680973984	1200	model	updating state	none	none	True	780	1.136	0.1	1.091696	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973997	1203	user	dragged	cuvetteNode	increasing														
test		1484680973997	1205	model	updating state	none	none	True	780	1.16	0.1	1.11476	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680973998	1208	user	dragged	cuvetteNode	increasing														
test		1484680974009	1210	model	updating state	none	none	True	780	1.176	0.1	1.130136	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974064	1216	user	dragged	cuvetteNode	increasing														
test		1484680974082	1218	model	updating state	none	none	True	780	1.184	0.1	1.137824	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974095	1221	user	dragged	cuvetteNode	increasing														
test		1484680974095	1224	user	dragged	cuvetteNode	increasing														
test		1484680974096	1226	model	updating state	none	none	True	780	1.208	0.1	1.160888	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
