User	Sim	Time	Index	User or Model	Component	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	diff in parsed table	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
13122150	beers-law-lab	0.0	0	model	interface	initializing		beersLawLab.sim.simStarted									{}						
13122150	beers-law-lab	0.0	2	model	sim	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	0.02	11	model	interface	initializing		beersLawLab.navigationBar.titleTextNode.textChanged	False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.56	346	user	sim	dragStarted	wavelengthControls		False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.92	370	user	sim	dragged	wavelengthControls	decreasing	False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.92	372	model	sim	updating state			False	770	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.93	375	user	sim	dragged	wavelengthControls		False	770	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.93	379	user	sim	dragged	wavelengthControls	decreasing	False	770	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.96	381	model	sim	updating state			False	760	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.97	384	user	sim	dragged	wavelengthControls	decreasing	False	760	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.97	386	model	sim	updating state			False	746	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.97	389	user	sim	dragged	wavelengthControls	decreasing	False	746	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	2.98	391	model	sim	updating state			False	736	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	3.36	417	user	sim	dragged	wavelengthControls	increasing	False	736	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	3.38	419	model	sim	updating state			False	741	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	3.4	422	user	sim	dragged	wavelengthControls	increasing	False	741	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	3.4	424	model	sim	updating state			False	746	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	3.47	430	user	sim	dragged	wavelengthControls	increasing	False	746	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	3.47	432	model	sim	updating state			False	751	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	3.6	443	user	sim	dragEnded	wavelengthControls		False	751	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	4.97	718	user	sim	toggle laser	laser button		False	751	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	4.99	720	model	sim	updating state			True	751	1.0	0.1	0.74	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.16	1012	user	sim	dragStarted	wavelengthControls		True	751	1.0	0.1	0.74	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.37	1027	user	sim	dragged	wavelengthControls	decreasing	True	751	1.0	0.1	0.74	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.39	1029	model	sim	updating state			True	741	1.0	0.1	0.66	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.62	1044	user	sim	dragged	wavelengthControls	decreasing	True	741	1.0	0.1	0.66	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.64	1046	model	sim	updating state			True	731	1.0	0.1	0.58	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.79	1058	user	sim	dragged	wavelengthControls		True	731	1.0	0.1	0.58	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.83	1061	user	sim	dragged	wavelengthControls	decreasing	True	731	1.0	0.1	0.58	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.84	1063	model	sim	updating state			True	726	1.0	0.1	0.54	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.85	1066	user	sim	dragged	wavelengthControls	decreasing	True	726	1.0	0.1	0.54	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
