sim,question,answer,score
L,quant.0,0,0
L,quant.0,0.01,0
L,quant.0,0.1,3
L,quant.0,0.15,0
L,quant.0,0.1?? I am not sure because I didn't finish the experiment but definately smaller than 0.2,2
L,quant.0,0.2,0
L,quant.0,0.2/2,3
L,quant.0,0.4,0
L,quant.0,0.5,0
L,quant.0,absorbance would decrease,1
L,quant.0,decrease,1
L,quant.0,Decrease,1
L,quant.0,decrease 0.1,3
L,quant.0,double maybe,0
L,quant.0,Half the absorbance,3
L,quant.0,highrer than 0.2,0
L,quant.0,increase,0
L,quant.0,it will decrease,1
L,quant.0,less than 0.2,1
L,quant.0,lower,1
L,quant.0,lower ( around 0.1),2
L,quant.0,same,0
L,quant.0,smaller,1
L,quant.0,Smaller,1
L,quant.0,smaller than 0.2,1
L,quant.0,the value of absorbance will decrease,1
L,quant.0,The value will be lowered.,1
L,quant.1,0,0
L,quant.1,0.1,0
L,quant.1,0.2*2,3
L,quant.1,0.3,0
L,quant.1,0.35,0
L,quant.1,0.4,3
L,quant.1,0.4ish,2
L,quant.1,0.5,0
L,quant.1,0.6,0
L,quant.1,0.75,0
L,quant.1,0.8,0
L,quant.1,1,0
L,quant.1,2.3,0
L,quant.1,3.4,0
L,quant.1,5.2,0
L,quant.1,absorbance would increase,1
L,quant.1,bigger than 0.2,1
L,quant.1,decrease,0
L,quant.1,double maybe,3
L,quant.1,Double the absorbance,3
L,quant.1,Greater,1
L,quant.1,higher,1
L,quant.1,higher (around 0.4),2
L,quant.1,higher than 0.2,1
L,quant.1,Increaes,1
L,quant.1,increase,1
L,quant.1,increase 0.4,3
L,quant.1,it will increase,1
L,quant.1,lower than 0.2,0
L,quant.1,more than 0.2,1
L,quant.1,the value of absorbannce will increase,1
L,quant.1,The value will be lowered.,0
L,quant.2,0,0
L,quant.2,0.05,0
L,quant.2,0.1,0
L,quant.2,0.2,0
L,quant.2,0.2*4,3
L,quant.2,0.4,0
L,quant.2,0.5,0
L,quant.2,0.6,0
L,quant.2,0.8,3
L,quant.2,1,0
L,quant.2,1.5,0
L,quant.2,1.6,0
L,quant.2,2,0
L,quant.2,2.1,0
L,quant.2,3.2,0
L,quant.2,3.6,0
L,quant.2,4x the absorbance,3
L,quant.2,5.4,0
L,quant.2,absorbance would increase significantly,1
L,quant.2,around 0.8 ,2
L,quant.2,bigger than 0.2,1
L,quant.2,decrease a lot (relative to other qs),0
L,quant.2,Greater,1
L,quant.2,higher,1
L,quant.2,higher (around 0.8),2
L,quant.2,increase,1
L,quant.2,Increase,1
L,quant.2,increase 0.6,1
L,quant.2,increase x4,3
L,quant.2,it will increase much more,1
L,quant.2,lower than 0.2,0
L,quant.2,more than 0.2,1
L,quant.2,much higher than 0.2,1
L,quant.2,quadruple maybe,3
L,quant.2,The value will be significantly higher.,1
L,quant.2,the value will stay the same,0
L,quant.3,0,0
L,quant.3,0.025,0
L,quant.3,0.1,0
L,quant.3,0.15,0
L,quant.3,0.2,3
L,quant.3,0.25,0
L,quant.3,0.3,0
L,quant.3,0.4,0
L,quant.3,0.5,0
L,quant.3,0.6,0
L,quant.3,0.7,0
L,quant.3,0.8,0
L,quant.3,0.85,0
L,quant.3,1,0
L,quant.3,1.5,0
L,quant.3,1.7,0
L,quant.3,2,0
L,quant.3,3,0
L,quant.3,5.1,0
L,quant.3,absorbance would stay the same ,3
L,quant.3,decrease,0
L,quant.3,higher,0
L,quant.3,increase and decrease so maybe the same 0.2,3
L,quant.3,increase x2,0
L,quant.3,less than 0.2,0
L,quant.3,lower than 0.2,0
L,quant.3,no change,3
L,quant.3,same,3
